type,1970,1975,1980,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,106.1,118.9,145.2,167.6,170.6,177.2,186.9,197.7,214.0,270.3,1528.0,27950.0,6151.6,13.5,29.0,42.5,55.4,67.5,72.3,94.6,113.5,125.9,156.6,204.2,277.9,368.1,534.9,556.8,597.6,636.0,712.5,773.1,818.0,900.4,940.0,999.1,1068.3,1129.5,1191.0,1304.5,1543.0,1766.8
